"tweet_id","in_reply_to_status_id","in_reply_to_user_id","retweeted_status_id","retweeted_status_user_id","timestamp","source","text","expanded_urls"
"284042004252483584","284037919499505664","104692306","","","2012-12-26 21:04:25 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","@AlexMLeo white folks *hate* that. It's delightful."
"284041740674027520","284038366931070976","15865042","","","2012-12-26 21:03:22 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","@katienotopoulos @glennf a good web article should be like your hot cousin's skirt."
"284041329611272192","284039644704825344","418","","","2012-12-26 21:01:44 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","@dens ugh, this made me look in runkeeper. I have 408 miles for the year so far. Think I can hit 1000 if I run continuously until 2013. :/"
"284035997505839104","284035486429900800","1140451","","","2012-12-26 20:40:33 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","@AntDeRosa agreed. But it's so rare for companies to acknowledge they should be politically responsible (vs. Chick-fil-A)"
"284035112323145730","284018467940732928","1140451","","","2012-12-26 20:37:02 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","@AntDeRosa not sure we can argue that tweets have political meaning but that messages on Starbucks cups don't."
"283944657640116224","","","283942826079817729","594745693","2012-12-26 14:37:36 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @blakezeff: TODAY: Murder *drop* proves we need stop &amp; frisk (http://t.co/QBoVLkiY). 
AUGUST: Crime *hike* proves we need it (htt ...","http://www.nydailynews.com/new-york/nyc-murders-18-5-year-article-1.1227060#ixzz2GADpnLe1"
"283941350041350144","283740334150778880","14270439","","","2012-12-26 14:24:27 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","@sneakatdatavibe I stand corrected; you'd just like to misrepresent my words and then overreact to them."
"283740119146573826","283740047948279808","20116095","","","2012-12-26 01:04:50 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","@davidblerner terrifying image."
"283740055586099203","283739345796595712","14270439","","","2012-12-26 01:04:35 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","@sneakatdatavibe hah, okay! You can imagine whatever you want, but I suppose you're the spokesperson for stopping free speech."
"283739723158147072","","","","","2012-12-26 01:03:16 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Would hate to be the sports therapist in charge of Santa's massage tonight."
"283739254000062464","","","283302659941871616","6480682","2012-12-26 01:01:24 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @azizansari: There needs to be a new Yelp feature to help accurately assess ethnic restaurants - ""Remove white ppl reviews."""
"283735062523039744","","","283352044977418241","165511377","2012-12-26 00:44:45 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @Andy_Richter: I do have two arms and as long as you're not too picky about what kind of attitude I have then I guess I can do the Bi ..."
"283645754080378880","283643066089353217","418","","","2012-12-25 18:49:52 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","@dens lol you're gonna be the one going for a jog on New Year's Eve. #GamificationCancelledChristmas"
"283643571649802240","283639517330669568","4558","","","2012-12-25 18:41:11 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","@harryh ! Really?"
"283642467398590464","283588265209122817","8127862","","","2012-12-25 18:36:48 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","@huny wow! Congrats!"
"283600898964455425","","","","","2012-12-25 15:51:38 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","'tis the season for vainly telling your parents that they should turn the flash off on the camera, and basking in being ignored."
"283441440779022336","283441256615518208","15519999","","","2012-12-25 05:18:00 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","@tolles I believe in cookies &amp; family, same as everybody else. :) best to yours!"
"283434881122435072","283305354224365569","6385432","","","2012-12-25 04:51:56 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","@dickc @sippey when they eat tin cans, are the cans supposed to be empty?"
"283432842963333120","283368986232623104","11604","","","2012-12-25 04:43:50 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","@torrez @waxpancake it was older; this was your repost of it."
"283432664759930881","283367134371930112","13461","","","2012-12-25 04:43:07 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","@waxpancake @torrez don't have to; I have it memorized."
"283217939702890496","","","","","2012-12-24 14:29:53 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","If a still-warm, freshly-made David's bagel comes in the front door, our household immediately grinds to a halt."
